ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2023;4;AAL;SBGL;KJFK;SBGL;J;J;2780,00;1
2023;4;AAL;SBGL;KJFK;SBGL;Y;Y;1092,00;2
2023;4;AAL;SBGL;KJFK;SBGL;Y;Y;1290,00;1
2023;4;AAL;SBGL;KJFK;SBGL;Y;Y;1335,00;2
2023;4;AAL;SBGL;KMIA;9999;J;NA;1380,00;1
2023;4;AAL;SBGL;KMIA;9999;J;NA;1470,00;3
2023;4;AAL;SBGL;KMIA;9999;J;NA;2850,00;1
2023;4;AAL;SBGL;KMIA;9999;Y;NA;300,00;6
2023;4;AAL;SBGL;KMIA;9999;Y;NA;332,00;1
2023;4;AAL;SBGL;KMIA;9999;Y;NA;334,00;5
2023;4;AAL;SBGL;KMIA;9999;Y;NA;370,00;1
2023;4;AAL;SBGL;KMIA;9999;Y;NA;400,00;5
2023;4;AAL;SBGL;KMIA;9999;Y;NA;404,00;2
2023;4;AAL;SBGL;KMIA;9999;Y;NA;660,00;1
2023;4;AAL;SBGL;KMIA;9999;Y;NA;720,00;1
2023;4;AAL;SBGL;KMIA;9999;Y;NA;750,00;4
2023;4;AAL;SBGL;KMIA;9999;Y;NA;810,00;2
2023;4;AAL;SBGL;KMIA;9999;Y;NA;902,00;1
2023;4;AAL;SBGL;KMIA;9999;Y;NA;1010,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2415,00;4
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2540,00;4
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2544,00;7
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2600,00;7
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2640,00;6
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2680,00;4
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2810,00;4
2023;4;AAL;SBGL;KMIA;SBGL;J;J;2850,00;2
2023;4;AAL;SBGL;KMIA;SBGL;J;J;3190,00;3
2023;4;AAL;SBGL;KMIA;SBGL;J;J;3200,00;2
2023;4;AAL;SBGL;KMIA;SBGL;J;J;3230,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;4150,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;4200,00;2
2023;4;AAL;SBGL;KMIA;SBGL;J;J;4308,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;4740,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;4950,00;6
2023;4;AAL;SBGL;KMIA;SBGL;J;J;5700,00;4
2023;4;AAL;SBGL;KMIA;SBGL;J;J;6200,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;7140,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;7450,00;7
2023;4;AAL;SBGL;KMIA;SBGL;J;J;7950,00;2
2023;4;AAL;SBGL;KMIA;SBGL;J;J;8200,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;J;10200,00;1
2023;4;AAL;SBGL;KMIA;SBGL;J;Y;1676,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;310,00;28
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;450,00;9
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;460,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;600,00;9
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;632,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;634,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;694,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;740,00;20
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;800,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;808,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;865,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;884,00;3
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;934,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;975,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;979,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1024,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1027,00;3
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1028,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1035,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1059,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1064,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1070,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1090,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1105,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1121,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1360,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1370,00;6
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1400,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1410,00;4
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1429,00;5
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1440,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1450,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1465,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1500,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1505,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1540,00;11
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1580,00;9
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1590,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1607,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1630,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;1965,00;2
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;2210,00;1
2023;4;AAL;SBGL;KMIA;SBGL;Y;Y;2236,00;2
2023;4;AAL;SBGL;KMIA;SBGR;Y;Y;1120,00;1
2023;4;AAL;SBGR;KDFW;9999;J;NA;2600,00;1
2023;4;AAL;SBGR;KDFW;9999;J;NA;4000,00;1
2023;4;AAL;SBGR;KDFW;9999;Y;NA;449,00;2
2023;4;AAL;SBGR;KDFW;9999;Y;NA;873,00;1
2023;4;AAL;SBGR;KDFW;9999;Y;NA;965,00;1
2023;4;AAL;SBGR;KDFW;9999;Y;NA;1195,00;1
2023;4;AAL;SBGR;KDFW;9999;Y;NA;1625,00;2
2023;4;AAL;SBGR;KDFW;SBGR;J;J;2620,00;2
2023;4;AAL;SBGR;KDFW;SBGR;J;J;2690,00;1
2023;4;AAL;SBGR;KDFW;SBGR;J;J;3350,00;1
2023;4;AAL;SBGR;KDFW;SBGR;J;J;3590,00;2
2023;4;AAL;SBGR;KDFW;SBGR;J;J;5950,00;1
2023;4;AAL;SBGR;KDFW;SBGR;J;J;6450,00;1
2023;4;AAL;SBGR;KDFW;SBGR;J;J;7050,00;1
2023;4;AAL;SBGR;KDFW;SBGR;J;J;7300,00;1
2023;4;AAL;SBGR;KDFW;SBGR;J;J;7650,00;3
2023;4;AAL;SBGR;KDFW;SBGR;J;J;8000,00;2
2023;4;AAL;SBGR;KDFW;SBGR;J;J;9500,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;J;2310,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;788,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;828,00;4
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;928,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;968,00;11
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;997,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1056,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1062,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1082,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1117,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1137,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1196,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1225,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1380,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1405,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1459,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1460,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1462,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1468,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1510,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1570,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1585,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1610,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1625,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1650,00;5
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1720,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1730,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1790,00;7
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1830,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1870,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1930,00;8
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1940,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1952,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1960,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;1980,00;6
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2030,00;4
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2040,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2080,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2110,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2120,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2130,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2190,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2227,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2230,00;4
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2270,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2310,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2340,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2390,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2410,00;2
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2465,00;3
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2530,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2780,00;1
2023;4;AAL;SBGR;KDFW;SBGR;Y;Y;2860,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;1160,00;3
2023;4;AAL;SBGR;KJFK;9999;J;NA;1175,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;2028,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;2270,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;2670,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;2870,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;3020,00;2
2023;4;AAL;SBGR;KJFK;9999;J;NA;3170,00;3
2023;4;AAL;SBGR;KJFK;9999;J;NA;4570,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;4720,00;1
2023;4;AAL;SBGR;KJFK;9999;J;NA;6520,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;373,00;14
2023;4;AAL;SBGR;KJFK;9999;Y;NA;388,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;443,00;13
2023;4;AAL;SBGR;KJFK;9999;Y;NA;458,00;3
2023;4;AAL;SBGR;KJFK;9999;Y;NA;476,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;507,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;546,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;564,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;586,00;5
2023;4;AAL;SBGR;KJFK;9999;Y;NA;605,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;616,00;4
2023;4;AAL;SBGR;KJFK;9999;Y;NA;645,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;671,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;675,00;6
2023;4;AAL;SBGR;KJFK;9999;Y;NA;701,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;710,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;715,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;735,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;741,00;4
2023;4;AAL;SBGR;KJFK;9999;Y;NA;751,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;805,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;821,00;2
2023;4;AAL;SBGR;KJFK;9999;Y;NA;825,00;1
2023;4;AAL;SBGR;KJFK;9999;Y;NA;1109,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;1250,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;1692,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;1740,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2286,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2290,00;3
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2291,00;6
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2296,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2312,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2330,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2336,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2347,00;4
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2350,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2356,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2366,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2370,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2376,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2382,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2390,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2410,00;4
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2425,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2450,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2490,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2520,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2600,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2791,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2866,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2870,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2876,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2882,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2890,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2910,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2920,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;2925,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3010,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3056,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3336,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3347,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3382,00;3
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3390,00;4
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3400,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3430,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3840,00;7
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3930,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;3935,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;4166,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;4540,00;3
2023;4;AAL;SBGR;KJFK;SBGR;J;J;4590,00;7
2023;4;AAL;SBGR;KJFK;SBGR;J;J;4690,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;4990,00;5
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5290,00;4
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5340,00;12
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5440,00;3
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5590,00;3
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5690,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5740,00;7
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5840,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;5890,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;6040,00;3
2023;4;AAL;SBGR;KJFK;SBGR;J;J;6330,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;6340,00;4
2023;4;AAL;SBGR;KJFK;SBGR;J;J;6490,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;6990,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;7290,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;7719,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;8345,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;8990,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;9440,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;9690,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;9840,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;11090,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;12169,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;13419,00;2
2023;4;AAL;SBGR;KJFK;SBGR;J;J;13569,00;1
2023;4;AAL;SBGR;KJFK;SBGR;J;J;17998,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;J;1836,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;J;2556,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;J;3457,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;295,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;412,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;492,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;552,00;9
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;600,00;11
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;626,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;642,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;652,00;20
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;660,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;682,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;686,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;692,00;23
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;696,00;6
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;700,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;721,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;730,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;732,00;10
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;733,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;740,00;8
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;746,00;11
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;752,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;773,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;782,00;6
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;792,00;80
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;796,00;9
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;800,00;35
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;826,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;832,00;39
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;836,00;12
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;837,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;838,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;839,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;840,00;17
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;861,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;867,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;869,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;872,00;37
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;873,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;886,00;44
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;892,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;916,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;922,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;940,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;941,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;951,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;964,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;972,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;973,00;30
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;976,00;7
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;977,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;994,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;997,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;998,00;10
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1000,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1002,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1005,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1012,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1013,00;21
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1014,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1020,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1022,00;11
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1026,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1032,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1042,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1044,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1062,00;8
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1070,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1072,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1083,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1091,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1094,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1096,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1098,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1112,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1117,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1119,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1131,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1133,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1134,00;6
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1138,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1139,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1142,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1147,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1152,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1153,00;8
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1154,00;12
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1157,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1169,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1171,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1172,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1173,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1174,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1182,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1202,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1203,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1207,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1209,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1211,00;7
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1216,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1217,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1221,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1227,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1250,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1251,00;9
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1267,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1272,00;6
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1275,00;4
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1282,00;8
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1290,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1298,00;2
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1301,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1312,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1315,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1322,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1330,00;5
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1332,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1340,00;1
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1350,00;3
2023;4;AAL;SBGR;KJFK;SBGR;Y;Y;1361,00;1
